GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,CFID,Winrate
Overall,2022-23,1610612761,TOR,2022-11-28T00:00:00,17,9,8,0.529,33.1,5.9,13.6,0.437,1.4,3.9,0.348,1.2,1.6,0.741,1.9,4.7,6.6,5.2,2.2,0.9,0.9,0.5,1.5,1.8,14.4,4.1,33.5,4,1,31.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612752,NYK,2022-11-27T00:00:00,20,9,11,0.45,34.7,6.6,16.5,0.401,1.5,5.6,0.268,3.9,5.0,0.77,1.0,4.5,5.5,3.1,2.3,0.5,0.1,1.4,2.2,3.5,18.6,-4.0,29.2,1,0,29.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612764,WAS,2022-11-28T00:00:00,21,11,10,0.524,22.6,2.9,8.0,0.365,1.2,3.6,0.329,1.0,1.1,0.875,0.3,3.0,3.3,2.6,1.0,0.7,0.3,0.6,1.1,0.8,8.0,-3.4,17.6,0,0,17.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612759,SAS,2022-11-26T00:00:00,12,1,11,0.083,14.4,2.2,3.4,0.634,0.2,0.5,0.333,0.7,1.2,0.571,1.8,3.8,5.7,1.6,1.5,0.4,1.0,0.2,2.3,0.9,5.2,-3.7,17.1,0,0,15.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612759,SAS,2022-11-25T00:00:00,19,6,13,0.316,16.1,2.9,5.7,0.514,0.4,1.3,0.28,1.2,1.4,0.815,1.3,1.6,2.8,0.7,0.8,0.7,0.2,0.4,0.6,0.9,7.4,-5.3,13.7,0,0,13.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612746,LAC,2022-11-27T00:00:00,21,12,9,0.571,18.5,1.5,3.7,0.41,1.0,2.7,0.351,0.4,0.6,0.615,0.7,3.3,4.0,1.3,0.9,0.6,0.8,0.0,2.1,0.5,4.4,-0.9,14.3,0,0,13.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612760,OKC,2022-11-28T00:00:00,16,5,11,0.313,15.7,2.3,5.1,0.439,0.6,1.6,0.36,0.8,1.5,0.5,1.2,2.8,4.0,1.1,0.6,0.6,1.3,0.9,1.3,1.2,5.8,-1.2,17.3,0,0,15.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612764,WAS,2022-11-28T00:00:00,15,7,8,0.467,36.6,8.9,16.9,0.528,1.9,4.9,0.378,3.7,4.1,0.903,0.7,2.9,3.7,5.6,2.9,1.3,0.7,0.5,2.1,3.2,23.5,-0.8,39.6,0,0,38.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,0
Overall,2022-23,1610612762,UTA,2022-11-28T00:00:00,23,12,11,0.522,26.8,5.0,11.7,0.429,3.3,8.1,0.403,0.8,0.9,0.9,0.7,3.3,4.0,1.5,0.9,1.0,0.2,0.4,1.2,0.6,14.0,-1.0,23.9,1,0,25.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
Overall,2022-23,1610612749,MIL,2022-11-27T00:00:00,15,11,4,0.733,15.5,2.0,5.2,0.385,0.8,2.7,0.293,0.5,0.7,0.7,0.9,2.0,2.9,0.4,1.2,0.5,0.1,0.5,1.7,0.7,5.3,-1.1,10.0,0,0,10.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,265,1
